id|contry|nsuid
0100F19011226000|US|70010000027743
0100AD40128B8000|US|70010000027941
0100E39012AEC000|US|70010000027948
01004510110C4000|US|70010000027961
01005AE012136000|US|70010000028037
0100D8301239C000|US|70010000028226
01005C7011DA2000|US|70010000028233
01006500123DE000|US|70010000028285
0100A85012830000|US|70010000028289
01006710122CE000|US|70010000028364
01000D2011E28000|US|70010000028547
01008DC0119A4000|US|70010000028784
0100F04012138000|US|70010000028832
0100699012F82000|US|70010000028834
0100181011E04000|US|70010000029247
0100B5401217C000|US|70010000029250
010079A01219C000|US|70010000029253
01008170120C2000|US|70010000029333
01007920129C0000|US|70010000029629
0100CD9011C04000|US|70010000029716
0100D87012A14000|US|70010000029893
01003F0012E0E000|US|70010000030227
0100CD6012314000|US|70010000030344
0100148012550000|US|70010000030538
010031C0122B0000|US|70010000030643
01003DE011F28000|US|70010000030667
0100AEE012104000|US|70010000030735
010078E011FC2000|US|70010000030837
01008C701215A000|US|70010000031227
01007A60125F2000|US|70010000031820
010029301250E000|US|70010000032531
010050E012BD0000|US|70010000032707
010012E012F12000|US|70010000032781
0100C1A012E40000|US|70010000033089
01007CA012B68000|US|70010000033452
0100B6B012FF4000|US|70010000034353
